scale,domain,n_items,n_rev,reverse_pct,alpha_mean,ipip
EPQR-A,Extraversion,6,3,0.5,-14.358262985398806,False
EPQR-A,Lie,6,2,0.3333333333333333,0.10672045049491316,False
EPQR-A,Neuroticism,6,0,0.0,0.8560505353685361,False
EPQR-A,Psychoticism,6,0,0.0,0.5984345783721321,False
IPIP-NEO-120,Agreeableness,24,17,0.7083333333333334,0.06895304638220652,True
IPIP-NEO-120,Conscientiousness,24,7,0.2916666666666667,0.5350993579415688,True
IPIP-NEO-120,Extraversion,24,3,0.125,0.9282062997475429,True
IPIP-NEO-120,Neuroticism,24,5,0.20833333333333334,0.8132395067874981,True
IPIP-NEO-120,Openness,24,9,0.375,0.1894177650089237,True
SD3,Machiavellianism,9,0,0.0,0.6641448855918063,False
SD3,Narcissism,9,3,0.3333333333333333,-0.2416732869393739,False
SD3,Psychopathy,9,2,0.2222222222222222,0.37546231997350643,False
ZKPQ-50-CC,Activity,10,2,0.2,0.6852609504063285,False
ZKPQ-50-CC,Aggression-Hostility,10,3,0.3,0.6622756105357516,False
ZKPQ-50-CC,Impulsive_Sensation_Seeking,10,0,0.0,0.9606219823958371,False
ZKPQ-50-CC,Neuroticism-Anxiety,10,1,0.1,0.8898767159711094,False
ZKPQ-50-CC,Sociability,10,6,0.6,-0.2315600686187486,False
